,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Total Sugars,Includes Added Sugars,Protein,Serving Size
Maple Chipotle BLT,720,40 g,8 g,0 g,35 mg,1080 mg,74 g,7 g,20 g,13 g,19 g,Serving Size 1 sandwich
Marinated Mixed Olives,150,14 g,1.5 g,0 g,0 mg,1240 mg,3 g,3 g,0 g,0 g,1 g,Serving Size 1 /2 cup
Dinner Roll,60,0.5 g,0 g,0 g,0 mg,110 mg,11 g,0 g,1 g,1 g,2 g,Serving Size 1 roll
Penne & Sausage,370,22 g,6 g,0 g,35 mg,750 mg,32 g,5 g,7 g,less than 1 g,12 g,Serving Size 1 cup
Garlic Herb Breadstick,170,6 g,1 g,0 g,0 mg,250 mg,25 g,0 g,1 g,1 g,4 g,Serving Size 1 each
Al Pastor Pulled Pork,220,12 g,4 g,0 g,90 mg,610 mg,3 g,0 g,1 g,0 g,27 g,Serving Size 1 /2 cup
Rice Noodles ( 1/2 cup),210,0.5 g,0 g,0 g,0 mg,20 mg,47 g,1 g,0 g,0 g,4 g,Serving Size 1 /2 cup
Sofrito Black Beans & Rice,190,6 g,0.5 g,0 g,0 mg,115 mg,29 g,2 g,1 g,0 g,4 g,Serving Size 1 /2 cup
White Rice ( 1/2 cup),120,0 g,0 g,0 g,0 mg,0 mg,26 g,0 g,0 g,0 g,3 g,Serving Size 1 /2 cup
Green Chili Calabacitas,50,1.5 g,0 g,0 g,0 mg,95 mg,9 g,2 g,3 g,0 g,2 g,Serving Size 1 /2 cup
Macaroni & Cheese Bites,260,14 g,3.5 g,0 g,10 mg,730 mg,28 g,1 g,2 g,0 g,6 g,Serving Size 4 each
Char-Grilled Turkey Burger,370,12 g,1.5 g,0 g,60 mg,600 mg,27 g,less than 1 g,3 g,3 g,26 g,Serving Size 1 each
Sriracha Slaw Burger,360,21 g,7 g,1 g,50 mg,320 mg,27 g,less than 1 g,4 g,3 g,15 g,Serving Size 1 each
Grilled Chicken Breast,220,12 g,2 g,0 g,65 mg,180 mg,1 g,0 g,0 g,0 g,25 g,Serving Size 1 piece
Sweet Potato Fries,150,7 g,1 g,0 g,0 mg,190 mg,23 g,1 g,7 g,less than 1 g,1 g,Serving Size 1 /4 ozw
